unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,chunk_binding_sha256,mode,intensity,structural_plan_status,structural_semantic_review_status,transaction_id,transaction_status,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-db1fe8ed1323,F00001,劈尖薄膜的干涉,1,1,148,148,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,02b38a0ff3b90f8be9738bbfa67e62d1f8379ca81be801a2af38066e3bb1dd94,REWRITE,STRUCTURAL,PASS,PENDING_EXTERNAL_REVIEW,STX-5990571b2b6d7f38849461b0,ATOMIC_PASS,U-db1fe8ed1323,,U-7143e3f710cd,1096,101,DONE,6536fc84b1657976b30c0ba016fac60cf3173bef544bb822f5a418faac361d6d,6c2baf1ec955994124da92100bfc477373ef1dc9e816e9b72e668722756726e8,diffs\U-db1fe8ed1323.diff,PASS,PASS,bound_structural_transaction_review_candidate
U-7143e3f710cd,F00001,劈尖薄膜的干涉,2,149,171,23,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,9a27c7ba5a368120525aea476d851961725be620931ffe9e7683813712b7bb04,REWRITE,STRUCTURAL,PASS,PENDING_EXTERNAL_REVIEW,STX-5990571b2b6d7f38849461b0,ATOMIC_PASS,U-7143e3f710cd,U-db1fe8ed1323,,164,18,DONE,7ef13f72813711b319324a3db72a5c091aaab400e5999c20818404ef025a617a,7c2ccb42d59bda8ad718653e73e33b26729ad0a1a0d3d79b13e84b0c7547dcd3,diffs\U-7143e3f710cd.diff,PASS,PASS,bound_structural_transaction_review_candidate
