unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-69a791bc7324,F00001,开头段 / 观点 / 危机挑战,1,120,137,18,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-69a791bc7324,8f2dc6cb6f6f435067eec82e3293088847d16e46ed676387d1e90ee8608192a9,U-e2920171c54c,U-b24ef5a3242e,113,21,PENDING,b274efcd003c8b83f2c14b1caf0e0795ab8eb242954621e442a2cd916beed52a,,,NOT_RUN,NOT_RUN,
U-b24ef5a3242e,F00001,开头段 / 观点 / 平衡双轨,1,138,162,25,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-b24ef5a3242e,1db02e564a9e047a9025236d349d7ca46a4614e9a2b5754e686318e0016c4b53,U-69a791bc7324,U-b08eea32974d,148,34,PENDING,69bb51ed9a94cce4f02d60612930b7df2af080a497ef9e1fd5cb47f2b90991e7,,,NOT_RUN,NOT_RUN,
U-b08eea32974d,F00001,第二段,1,163,164,2,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-b08eea32974d,16b4712404e508e951f593f88639be866a1a90207e72ded384ab9fa1917ee6aa,U-b24ef5a3242e,U-3ccd5b385450,0,1,SKIPPED_PROTECTED,5ba8bd72cf5987240eb3abf90774ed8d673171cce875dc98366435ec5371372f,,,NOT_RUN,NOT_RUN,
U-3ccd5b385450,F00001,第二段 / 背景重述,1,165,189,25,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-3ccd5b385450,2d8ed1420c05916f97d6678cc382c1c479a03cb273d9c83d24f8bdd1b61e01a4,U-b08eea32974d,U-a771e001f155,0,34,SKIPPED_PROTECTED,d9dc145917a08b46990a87c79e7e08a351987e5e98e1d80f49f3f03e4715a3fa,,,NOT_RUN,NOT_RUN,
U-a771e001f155,F00001,第二段 / 举例论证,1,190,204,15,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-a771e001f155,9b268718a7dae3f7e2c2cdce984b345587bd457cdbcec67ec01d2706a50b349a,U-3ccd5b385450,U-180a05ee7c73,0,13,SKIPPED_PROTECTED,7ba1f716e76c4ab51b5018fae7cdbc76c86ba726eb465fb07db2475c79695e92,,,NOT_RUN,NOT_RUN,
U-180a05ee7c73,F00001,第二段 / 因此,1,205,223,19,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-180a05ee7c73,0288066e78ea3d25efde94c90a0c78110c341c33b4dcb024f415549a1afdc4c6,U-a771e001f155,U-721685968224,26,18,PENDING,928e974676de08a1b7f53bdcd6c9d57fc323e7da881b956536e0a3871aafa87c,,,NOT_RUN,NOT_RUN,
U-721685968224,F00001,第三段,1,224,226,3,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-721685968224,acbf86f0c65035505c0a66845ddde09498a79fc409100c54e9dacf730b5d2265,U-180a05ee7c73,U-d5a1cf5a4be3,53,4,PENDING,53269f2366929e9b0a96e17445b88fafaeb6623d61313d96b41abea3dfe80e3c,,,NOT_RUN,NOT_RUN,
U-d5a1cf5a4be3,F00001,第三段 / 表层解释,1,227,252,26,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-d5a1cf5a4be3,eb391c2c7cfb65731c00253be4fcead60be6ed5386f6ad34fbf8a20d8552e7d9,U-721685968224,U-ffa87f391f2f,0,58,SKIPPED_PROTECTED,b6f708acc4faf239a197e036f24d366293fe3a70a72ff86bf8f81007adeda4d8,,,NOT_RUN,NOT_RUN,
U-ffa87f391f2f,F00001,第三段 / 深层机制,1,253,277,25,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-ffa87f391f2f,505d726256957224e9dd666ec634621bc57cb5e3560a33f1969a10343343e444,U-d5a1cf5a4be3,U-ce00d84567be,0,63,SKIPPED_PROTECTED,4c5056ec490b8bb5c7628981cc51451a25d11cfabb0c38278c4274d17b252f9b,,,NOT_RUN,NOT_RUN,
U-ce00d84567be,F00001,第三段 / 思辨,1,278,313,36,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-ce00d84567be,dafefeb8644e2f0f5511b8180335b3e891667778d811c85261159f5edbe433e2,U-ffa87f391f2f,U-408572699f5b,3,78,PENDING,eea2c14e2fb4f0817a9372bc9458c3457f6bba0dae208a4e411dc6f7d556aef7,,,NOT_RUN,NOT_RUN,
U-408572699f5b,F00001,第三段 / 目的导向,1,314,329,16,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-408572699f5b,f22f92ab1af372c8eec5e0df7f542949f5af9a88f9a22c1f85b5d0ffe6a7413d,U-ce00d84567be,U-f97033ec9846,0,31,SKIPPED_PROTECTED,1eae8c0b4f501f7909ec16c226b3753f6f1597ed77d2d5ecae68a4f4324d38d9,,,NOT_RUN,NOT_RUN,
U-f97033ec9846,F00001,第四段,1,330,332,3,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-f97033ec9846,5ff29025751ef5790488e910959184144b9116a9ed35092373caabb549e278af,U-408572699f5b,U-c39aa5700775,0,1,SKIPPED_PROTECTED,84c79ce9677508e370d806daa1da5e5356a184d47375eb758ac87c99667d4d76,,,NOT_RUN,NOT_RUN,
U-c39aa5700775,F00001,第四段 / 定性收束,1,333,358,26,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-c39aa5700775,f4dee112a1d353fae44e4eaaf0018b1b860071f4656fd1a392ceb8e48c4fde48,U-f97033ec9846,U-143b52d7dab8,0,35,SKIPPED_PROTECTED,cd3e207b245f07bc60852404f44b41922c9f9f010f2a59ee46c44f81399beded,,,NOT_RUN,NOT_RUN,
U-143b52d7dab8,F00001,第四段 / 行动分工,1,359,382,24,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-143b52d7dab8,108d8397a75507b06db5f7804f3f835ac9497f9e2864a1562389368431167d79,U-c39aa5700775,U-ad754b1d654b,0,25,SKIPPED_PROTECTED,1ada834648eef159f8d4e08c60046783fb89395b985bf246db5f7c7446d22710,,,NOT_RUN,NOT_RUN,
U-ad754b1d654b,F00001,第四段 / 约束机制,1,383,406,24,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-ad754b1d654b,ac6b2673e9cbc02da9f035691c0651074798d768ac4964f005cc117e14aecf72,U-143b52d7dab8,U-733342b1bc62,0,24,SKIPPED_PROTECTED,3d287d378f7fc22372d9a72b01d908a38c6f879e5197969d5a7ddb856f91e10e,,,NOT_RUN,NOT_RUN,
U-733342b1bc62,F00001,第四段 / 愿景抬升,1,407,430,24,GENERAL,AUTO,,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-733342b1bc62,b8c4200c9e4058791cbed335f2f90ed99749b992ff7aa4616ab9d89df434be8d,U-ad754b1d654b,,0,24,SKIPPED_PROTECTED,2dc695ea4015d78ac526d65d0027f61ae20380431d17cae2053ce78653df96a1,,,NOT_RUN,NOT_RUN,
