unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-b3bd48fba781,F00001,光的偏振 / 反射和折射时的偏振,1,3691,3718,28,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-b3bd48fba781,c86aa16533ad340d0c97c4f85e276947fa205a9f7396da8ea36b593f8f76dea7,U-e6a9c1003e86,U-afead112c45c,0,6,SKIPPED_PROTECTED,b9160f4feacdd86b70642717a137df61bc33bf1dd2c1a66898075f8e08ce75c0,,,NOT_RUN,NOT_RUN,
U-afead112c45c,F00001,气体动理论,1,3719,3749,31,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-afead112c45c,4e918a73551c41a1ee21477dcc3beaf8e9e31de17ff9d8276a624c06c6625348,U-b3bd48fba781,U-89315852a378,0,4,SKIPPED_PROTECTED,32e62975b712f0e545bfe235ccaa3e4d36694a18f32c52b2af8aa1774f71659d,,,NOT_RUN,NOT_RUN,
U-89315852a378,F00001,气体动理论 / 气体分子数按速率分布的统计规律,1,3750,3829,80,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-89315852a378,4e1160f6ffe019e3fb3669817b3dc78fd2bf5d712f19ee66402a07ae0e92ff6d,U-afead112c45c,U-626993c098ba,224,38,PENDING,7969bf54ba24174eed140d2199bf95c2694a423c62f9035378576c5eaaa98a47,,,NOT_RUN,NOT_RUN,
U-626993c098ba,F00001,气体动理论 / 压强和温度的微观解释,1,3830,3922,93,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-626993c098ba,2590291bd100a6ad8a4c3c3405e3cacaa6bc67e29308026a8afe103186923dbd,U-89315852a378,U-b812148e8f59,104,49,PENDING,ac42679d6cd0d2cc881d7116a5aa4a224a51988364a7abde377798969a4f2721,,,NOT_RUN,NOT_RUN,
U-b812148e8f59,F00001,气体动理论 / 自由度,1,3923,3991,69,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-b812148e8f59,326679ca8ed3943f5ad44411e8ded5cc0ffc98759464b45635702ffd1928edf6,U-626993c098ba,U-d59c49d305f7,60,36,PENDING,4bb12a3b713695bfc904f04c06df01320ab395de2c970b635be151c4eb743f58,,,NOT_RUN,NOT_RUN,
U-d59c49d305f7,F00001,热力学第一定律,1,3992,4094,103,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-d59c49d305f7,9dc47b3ab0c035bc6db80f61c2dcdba7a27196c8195f0379f1a82f01739c1c0e,U-b812148e8f59,U-d6e46fcdecdc,304,66,PENDING,2e415e0eca460e145f70201b0e6fef213994d455812104e0f2bb761cb2f13267,,,NOT_RUN,NOT_RUN,
U-d6e46fcdecdc,F00001,热力学第一定律 / 气体的热容与摩尔热容,1,4095,4189,95,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-d6e46fcdecdc,9b268067b5645552817846366498a2532ca313d194da8096204c38b679258a53,U-d59c49d305f7,U-98806941b85a,198,39,PENDING,03942d0ebf4c46b65ead0126f662277e97696a29a2508b6d88cd39e793664ebd,,,NOT_RUN,NOT_RUN,
U-98806941b85a,F00001,热力学第一定律 / 循环过程,1,4190,4327,138,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-98806941b85a,5bd1f26cd31e6afdf2f31ad247af3cd27c61a0acccd4eabf21cb284d87016be1,U-d6e46fcdecdc,U-2d70ab53570c,267,52,PENDING,23be3ed30d7e181521a10df99f53d2572af363ab0c6d57644712e145eaca55cc,,,NOT_RUN,NOT_RUN,
U-2d70ab53570c,F00001,热力学第一定律 / 循环过程 / 正循环与热机效率，逆循环与致冷系数，卡诺循环,1,4328,4552,225,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-2d70ab53570c,9fda088200fca1a0fdc04538576148fefa37ed5b217fb2d6ca44145e93c3bf78,U-98806941b85a,U-168d1365edec,525,89,PENDING,aba88d3aaa037a82944189682949a7a74e829ddc3e7213b5b5c73805496dbf68,,,NOT_RUN,NOT_RUN,
U-168d1365edec,F00001,热力学第二定律,1,4553,4586,34,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-168d1365edec,bae37328127c2ba44e1a861454cd620070af9432c4375e56347765195750ab42,U-2d70ab53570c,U-2e772d158a93,0,4,SKIPPED_PROTECTED,21398342bbaf2ab91c3da32a2f823ac055ad6c779db24c04880eed9af827c6c8,,,NOT_RUN,NOT_RUN,
U-2e772d158a93,F00001,热力学第二定律 / 熵,1,4587,4685,99,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-2e772d158a93,cf5335b5bcbda8e0469c94bd61ba0a44f7f5077ef05d314d07d34a6aaa7f80db,U-168d1365edec,,101,22,PENDING,c6a777c467f336ab0e9942ae0097e5292b43dbe9efd121cd142be60d7cb65d19,,,NOT_RUN,NOT_RUN,
