unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-d9ebfba45bc9,F00001,GPT/Codex 中文风格深度语料报告 / 8. 模板化与 AI 痕迹,1,189,194,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-d9ebfba45bc9,cb99ce13071daa0b265a4643531aaaf1ca1673ef8b40dc6f43590ea48be693cb,U-cc853abad895,U-95f7e83782e1,158,7,PENDING,c80a4e05e95f6cd0d976fe9cdf8676e827ffdc01e9d2f8353a31bfb897198faf,,,NOT_RUN,NOT_RUN,
U-95f7e83782e1,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据,1,195,198,4,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-95f7e83782e1,1248b23a91fb01dd663423b9b6215f96a03999f113624d6f2924a46afd572350,U-d9ebfba45bc9,U-33010659ba1f,56,1,PENDING,d50c5a9c8a92795e35f5d784a4e5215d316ab44d411ce1a93eaf51b574b87535,,,NOT_RUN,NOT_RUN,
U-33010659ba1f,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 1,1,199,204,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-33010659ba1f,00b7bc952a7cdca78e2b932ac89a35a79ba310f216be45d8df813b5ef4f61822,U-95f7e83782e1,U-a4441b6eb155,0,3,SKIPPED_PROTECTED,d6665b104a4a234c8ae3c7ea9b358b2e1f8ecf49122c7410dbf1150186e2467b,,,NOT_RUN,NOT_RUN,
U-a4441b6eb155,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 2,1,205,210,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-a4441b6eb155,90cf9139ae8f250e848080e64c12b02d9af3ebf924034211da0d69e0432e153c,U-33010659ba1f,U-95250348a520,0,3,SKIPPED_PROTECTED,4b464677348b9bca9293479c9292d652eb055417b0b8d4c6875c923f87ff1d85,,,NOT_RUN,NOT_RUN,
U-95250348a520,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 3,1,211,216,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-95250348a520,b5b089a1b05dfc84a21094407cc89d68ef7d5033a8c7a304e52d2e4891f0ccc0,U-a4441b6eb155,U-9853b220f092,0,3,SKIPPED_PROTECTED,8dde6d0eceded8c3144f7ee1aaf7efe4ceee61fde6bed09f2c6f5b538b140f42,,,NOT_RUN,NOT_RUN,
U-9853b220f092,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 4,1,217,222,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-9853b220f092,ae3869722e2db753736a82c76ec5f82b67130fc9c121c0400cc737355505f508,U-95250348a520,U-c26c1250d536,0,3,SKIPPED_PROTECTED,c1bef590b30bbdb1ca121b8a0eb84511032860f9be4d26cc5adbe849fdfa0739,,,NOT_RUN,NOT_RUN,
U-c26c1250d536,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 5,1,223,228,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-c26c1250d536,8e16e7085bc2db56af5113b3669bd0cbe230312b77680921e04af1c26e422db6,U-9853b220f092,U-7c3d32f9a071,0,3,SKIPPED_PROTECTED,86cd355320aa1f96193e8cef9896e2fb2059ac2af9ac10cf86271d436b708771,,,NOT_RUN,NOT_RUN,
U-7c3d32f9a071,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 6,1,229,234,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-7c3d32f9a071,b1b5623584253e9504d346258dc702cca2bdbd63cf3d80152dbe01a32f6f8609,U-c26c1250d536,U-b0c5851ccea3,0,3,SKIPPED_PROTECTED,9fff0205988f81af2c59794183b3c41003a19f30c6a02759f3ccaef7571bf9a0,,,NOT_RUN,NOT_RUN,
U-b0c5851ccea3,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 7,1,235,240,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-b0c5851ccea3,e0a6e847f5e68151bebbaeaa9266dfd906174a41f65237bccd154bdbf7c384f5,U-7c3d32f9a071,U-13bc379f1e38,0,3,SKIPPED_PROTECTED,40bd2b36d39061f4eb55ef94bb7c6fc94c83530677efe2e3384958738fc1756d,,,NOT_RUN,NOT_RUN,
U-13bc379f1e38,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 8,1,241,246,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-13bc379f1e38,e6400982623e5201e73f0c93326b1ff9da277b0cd02f4ad149ab18ae95aff39f,U-b0c5851ccea3,U-4a7c8f05a521,0,3,SKIPPED_PROTECTED,2e903f297e3399908f50f4369f8bf1c3d3ea19e1ebd17843d7f169c526a1e77a,,,NOT_RUN,NOT_RUN,
