unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-5a952dcdf732,F00001,三大守恒定律 / 一对力的功，势能,1,753,807,55,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-5a952dcdf732,f955353c110bd89b994ea421a65b6bb24b98935871f98a16e92f9105f4e74d20,U-93a175ff5d21,U-aaa02321838d,640,64,PENDING,125e145c442b48b08b5c09cffa27248e9f6aa97ecf9e6c5ffdd653b2a7d37388,,,NOT_RUN,NOT_RUN,
U-aaa02321838d,F00001,三大守恒定律 / 角动量与角动量守恒,1,808,980,173,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-aaa02321838d,8ed71474be606e47322eefa1c4c56ccd4a94b2258dde04724c15f992c9853f93,U-5a952dcdf732,U-3cce0e4dc4b6,1130,128,PENDING,0e3caed0537d84ac98df1de792754b7451b45ba1fbfcf09b85abedd7d45c8272,,,NOT_RUN,NOT_RUN,
U-3cce0e4dc4b6,F00001,刚体力学,1,981,990,10,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-3cce0e4dc4b6,6a0a9cd14ecc79254ed00c864b4011333eb038230c7e119c9b7944d3ccd0f924,U-aaa02321838d,U-e7a4ae85af47,0,1,SKIPPED_PROTECTED,37a529afde6a99fcf47e4ef128518468cb4497dd6fa7ee802efff9a10e7c5f49,,,NOT_RUN,NOT_RUN,
U-e7a4ae85af47,F00001,刚体力学 / 刚体与定轴转动,1,991,1093,103,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-e7a4ae85af47,4b92587b75ce60d916eb1fcd5a3b8ac7aa21f3e7479fa69a7c2484edddafc5d9,U-3cce0e4dc4b6,U-125c6ede8699,984,131,PENDING,5dcafc0ab868c9e71fa202e32e8706e5ca53ef4882fac69a2de038a4e8b882cd,,,NOT_RUN,NOT_RUN,
U-125c6ede8699,F00001,刚体力学 / 刚体与定轴转动,2,1094,1120,27,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-125c6ede8699,1784944182c67525b92ff7599450b3b3edca41d9b8c7cba528fda0c409c99156,U-e7a4ae85af47,U-a6cf2c6d133c,1022,81,PENDING,4d8b81a8e5f6b02bc5b021fdd2dd17e0308cea117eb283e5601337c32c28a583,,,NOT_RUN,NOT_RUN,
U-a6cf2c6d133c,F00001,刚体力学 / 刚体与定轴转动,3,1121,1128,8,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-a6cf2c6d133c,80b827a3694fb311693c1413437d89a373b8a6609956ffa72cd6c0485dd9cc33,U-125c6ede8699,U-36119efddd29,272,26,PENDING,41e215b2281903c1736485784b58068ff1d1ddbb7851162dba55b746862823b7,,,NOT_RUN,NOT_RUN,
U-36119efddd29,F00001,刚体力学 / 刚体定轴转动的角动量定理与转动定律,1,1129,1243,115,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-36119efddd29,42f987a6c4aa672c50901483233132dd9a4c5772cc13a41ef93b46446d962d5b,U-a6cf2c6d133c,U-86591e810cea,1125,123,PENDING,fc4c4768e816b1919fdaed0af8fe482cd4b8cae7a48e567af57a0f0c14f5e11e,,,NOT_RUN,NOT_RUN,
U-86591e810cea,F00001,刚体力学 / 刚体定轴转动的角动量定理与转动定律,2,1244,1254,11,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-86591e810cea,42e8c71a23c65f8ad018e5bac02048885aefb5cf2a5307bb55af60d41255a768,U-36119efddd29,U-66401ff114b1,131,14,PENDING,2e6983fcdea01dfc3c2eb74a5679b7db2e31378b48eb3a27cbd4a2049701e149,,,NOT_RUN,NOT_RUN,
U-66401ff114b1,F00001,刚体力学 / 回转运动与陀螺的进动,1,1255,1374,120,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-66401ff114b1,c23af01f5fb8ae72385e3ec359860a2d47634355ebdb82327441f318c79aa41d,U-86591e810cea,U-068fd524dcff,908,108,PENDING,8ece7d52272717b9938e7a6c9778e21344dc12739eb5c7d53cef70387c8acad0,,,NOT_RUN,NOT_RUN,
U-068fd524dcff,F00001,机械振动,1,1375,1487,113,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-068fd524dcff,db7ffb17480425da7b825645da7a8bf0fd6e95db7f0359f1ecf4ea70f91d5059,U-66401ff114b1,U-966383e93b1e,215,105,PENDING,55e040d5bf3e96dd7f01c065171e12e02c0b91a8ad75e43bf94ac7416750db8b,,,NOT_RUN,NOT_RUN,
U-966383e93b1e,F00001,机械振动 / 振动能量,1,1488,1568,81,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-966383e93b1e,ea7d9a0ea1db9175007f6bfc578b75b9168dbc9136f16f7f13ccac46c83f4489,U-068fd524dcff,U-27aa029b2563,212,50,PENDING,e555fb70f2ffcaf640431ff2355f0cb221b6e8d5e323dea0c1b011cda4f1bd8f,,,NOT_RUN,NOT_RUN,
U-27aa029b2563,F00001,机械振动 / 同方向同频率简谐振动的合成,1,1569,1593,25,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-27aa029b2563,7fb320b6a3d30e0eb084bbc75f7a59eb2f46105469cd007af5dd735338d9f15d,U-966383e93b1e,U-d5fcbb55026e,60,8,PENDING,c5f73a30727ad2be7760e67f6d1f665fe221bdea996a089476bff4ab959dffe4,,,NOT_RUN,NOT_RUN,
U-d5fcbb55026e,F00001,机械振动 / 拍与拍频,1,1594,1622,29,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-d5fcbb55026e,d13d3b06f981ea27c79232712bee084bc2b2cb47893e3846fe6cb2ea55979f49,U-27aa029b2563,U-3af0d2755471,271,37,PENDING,6df5ab4003b89d387ddae2a26f9b0514f8efca1f893647ac4786800fa7c61b5b,,,NOT_RUN,NOT_RUN,
U-3af0d2755471,F00001,机械振动 / 相互垂直的合成,1,1623,1624,2,COURSE,COURSE,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,STRUCTURAL,NOT_RUN,U-3af0d2755471,d6d6c874fa3b810693308f09fabb174af706316d6d56f0cc5ea2475ecfe41ca4,U-d5fcbb55026e,U-c37af55ccd2a,0,1,SKIPPED_PROTECTED,5e4643845559b77dd2ba129cb80149966df4d6f97817198ccd858470b8350e00,,,NOT_RUN,NOT_RUN,
