question_number,0-20%,20-40%,40-60%,60-80%,80-100%
36,0.1016949152542373,0.3898305084745763,0.3220338983050847,0.13559322033898305,0.05084745762711865
37,0.288135593220339,0.1694915254237288,0.22033898305084745,0.2711864406779661,0.05084745762711865
38,0.288135593220339,0.1694915254237288,0.1694915254237288,0.22033898305084745,0.15254237288135594
39,0.13559322033898305,0.3898305084745763,0.2033898305084746,0.1694915254237288,0.1016949152542373
40,0.1864406779661017,0.2033898305084746,0.288135593220339,0.15254237288135594,0.1694915254237288
41,0.11864406779661017,0.15254237288135594,0.288135593220339,0.13559322033898305,0.3050847457627119
42,0.2542372881355932,0.22033898305084745,0.2033898305084746,0.2033898305084746,0.11864406779661017
43,0.2033898305084746,0.0847457627118644,0.2711864406779661,0.22033898305084745,0.22033898305084745
44,0.22033898305084745,0.3050847457627119,0.1694915254237288,0.1016949152542373,0.2033898305084746
45,0.0847457627118644,0.13559322033898305,0.2033898305084746,0.3050847457627119,0.2711864406779661
