anchor_question,target_question,condition_type,condition_value,support_count,support_pct,target_best_30_window,target_best_30_coverage_pct,target_best_40_window,target_best_40_coverage_pct,target_best_50_window,target_best_50_coverage_pct,base_best_30_window,base_best_30_coverage_pct,base_best_40_window,base_best_40_coverage_pct,base_best_50_window,base_best_50_coverage_pct,gain_30_pct,gain_40_pct,gain_50_pct,target_median_pct
41,44,half,后半区,30,50.85,10-40%,56.67,0-40%,66.67,10-60%,76.67,10-40%,42.37,0-40%,52.54,0-50%,61.02,14.3,14.13,15.65,32.14
39,44,band20,40-60%,12,20.34,10-40%,50.0,0-40%,66.67,0-50%,75.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,7.63,14.13,13.98,31.98
38,42,band20,60-80%,13,22.03,10-40%,46.15,10-50%,61.54,10-60%,76.92,0-30%,35.59,0-40%,47.46,0-50%,59.32,10.56,14.08,17.6,43.33
44,42,half,前半区,36,61.02,10-40%,52.78,0-40%,61.11,0-50%,63.89,0-30%,35.59,0-40%,47.46,0-50%,59.32,17.19,13.65,4.57,33.38
40,39,band20,0-20%,11,18.64,30-60%,63.64,20-60%,72.73,30-80%,81.82,20-50%,49.15,20-60%,59.32,20-70%,66.1,14.49,13.41,15.72,50.0
45,43,band20,80-100%,16,27.12,50-80%,50.0,60-100%,62.5,50-100%,75.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,12.71,13.35,15.68,65.59
41,43,band20,60-80%,8,13.56,40-70%,37.5,50-90%,62.5,50-100%,75.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,0.21,13.35,15.68,59.52
41,39,half,前半区,29,49.15,20-50%,62.07,20-60%,72.41,20-70%,79.31,20-50%,49.15,20-60%,59.32,20-70%,66.1,12.92,13.09,13.21,38.24
38,37,band20,0-20%,17,28.81,40-70%,47.06,40-80%,70.59,40-90%,82.35,0-30%,40.68,10-50%,57.63,0-50%,62.71,6.38,12.96,19.64,55.88
37,40,half,后半区,22,37.29,20-50%,54.55,10-50%,63.64,0-50%,72.73,20-50%,38.98,10-50%,50.85,10-60%,61.02,15.57,12.79,11.71,37.62
39,40,half,后半区,22,37.29,20-50%,50.0,10-50%,63.64,10-60%,77.27,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,12.79,16.25,37.62
40,45,half,后半区,25,42.37,60-90%,64.0,50-90%,72.0,40-90%,88.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,13.15,12.68,16.81,67.86
39,38,band20,40-60%,12,20.34,0-30%,58.33,0-40%,58.33,0-50%,58.33,0-30%,44.07,0-40%,45.76,0-50%,54.24,14.26,12.57,4.09,20.0
40,38,band20,20-40%,12,20.34,0-30%,50.0,0-40%,58.33,0-50%,66.67,0-30%,44.07,0-40%,45.76,0-50%,54.24,5.93,12.57,12.43,29.14
44,38,band20,80-100%,12,20.34,50-80%,50.0,40-80%,58.33,30-80%,58.33,0-30%,44.07,0-40%,45.76,0-50%,54.24,5.93,12.57,4.09,60.0
43,38,band20,0-20%,12,20.34,0-30%,41.67,50-90%,58.33,40-90%,58.33,0-30%,44.07,0-40%,45.76,0-50%,54.24,-2.4,12.57,4.09,56.28
38,45,half,前半区,32,54.24,60-90%,59.38,50-90%,71.88,40-90%,78.12,60-90%,50.85,50-90%,59.32,40-90%,71.19,8.53,12.56,6.93,67.75
45,44,half,前半区,20,33.9,70-100%,60.0,60-100%,65.0,40-90%,75.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,17.63,12.46,13.98,76.97
36,41,band20,20-40%,23,38.98,70-100%,52.17,60-100%,56.52,40-90%,65.22,20-50%,37.29,20-60%,44.07,40-90%,61.02,14.88,12.45,4.2,75.0
39,41,band20,20-40%,23,38.98,20-50%,52.17,10-50%,56.52,0-50%,69.57,20-50%,37.29,20-60%,44.07,40-90%,61.02,14.88,12.45,8.55,45.0
44,41,half,后半区,23,38.98,20-50%,47.83,20-60%,56.52,0-50%,65.22,20-50%,37.29,20-60%,44.07,40-90%,61.02,10.54,12.45,4.2,45.83
38,43,band20,60-80%,13,22.03,30-60%,46.15,30-70%,61.54,30-80%,69.23,50-80%,37.29,40-80%,49.15,50-100%,59.32,8.86,12.39,9.91,53.57
39,37,band20,60-80%,10,16.95,20-50%,60.0,10-50%,70.0,10-60%,80.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,19.32,12.37,17.29,48.44
38,36,half,后半区,27,45.76,20-50%,70.37,20-60%,85.19,20-70%,92.59,20-50%,62.71,10-50%,72.88,10-60%,81.36,7.66,12.31,11.23,45.83
36,41,half,后半区,16,27.12,40-70%,50.0,40-80%,56.25,20-70%,62.5,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,12.18,1.48,51.78
37,41,band20,60-80%,16,27.12,40-70%,50.0,40-80%,56.25,40-90%,81.25,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,12.18,20.23,61.36
38,44,band20,0-20%,17,28.81,20-50%,52.94,20-60%,64.71,10-60%,70.59,10-40%,42.37,0-40%,52.54,0-50%,61.02,10.57,12.17,9.57,36.67
42,45,half,前半区,35,59.32,60-90%,62.86,50-90%,71.43,50-100%,77.14,60-90%,50.85,50-90%,59.32,40-90%,71.19,12.01,12.11,5.95,68.18
43,45,half,后半区,35,59.32,60-90%,60.0,50-90%,71.43,50-100%,80.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,9.15,12.11,8.81,70.0
45,43,band20,60-80%,18,30.51,40-70%,50.0,40-80%,61.11,40-90%,66.67,50-80%,37.29,40-80%,49.15,50-100%,59.32,12.71,11.96,7.35,58.71
36,37,band20,20-40%,23,38.98,50-80%,60.87,40-80%,69.57,40-90%,78.26,0-30%,40.68,10-50%,57.63,0-50%,62.71,20.19,11.94,15.55,70.0
42,36,band20,20-40%,13,22.03,20-50%,76.92,10-50%,84.62,0-50%,84.62,20-50%,62.71,10-50%,72.88,10-60%,81.36,14.21,11.74,3.26,34.38
38,36,band20,60-80%,13,22.03,20-50%,69.23,20-60%,84.62,20-70%,92.31,20-50%,62.71,10-50%,72.88,10-60%,81.36,6.52,11.74,10.95,46.43
45,40,band20,20-40%,8,13.56,30-60%,62.5,10-50%,62.5,0-50%,75.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,23.52,11.65,13.98,42.12
36,40,half,后半区,16,27.12,0-30%,50.0,10-50%,62.5,10-60%,68.75,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,11.65,7.73,32.81
36,40,band20,60-80%,8,13.56,0-30%,50.0,10-50%,62.5,10-60%,75.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,11.65,13.98,30.72
45,42,half,后半区,39,66.1,10-40%,46.15,0-40%,58.97,0-50%,69.23,0-30%,35.59,0-40%,47.46,0-50%,59.32,10.56,11.51,9.91,34.62
38,41,band20,80-100%,9,15.25,60-90%,55.56,50-90%,55.56,40-90%,66.67,20-50%,37.29,20-60%,44.07,40-90%,61.02,18.27,11.49,5.65,68.18
44,41,half,前半区,36,61.02,70-100%,47.22,60-100%,55.56,40-90%,69.44,20-50%,37.29,20-60%,44.07,40-90%,61.02,9.93,11.49,8.42,66.03
37,42,band20,0-20%,17,28.81,0-30%,47.06,0-40%,58.82,0-50%,76.47,0-30%,35.59,0-40%,47.46,0-50%,59.32,11.47,11.36,17.15,34.62
40,42,band20,40-60%,17,28.81,10-40%,47.06,10-50%,58.82,10-60%,70.59,0-30%,35.59,0-40%,47.46,0-50%,59.32,11.47,11.36,11.27,43.33
41,39,band20,40-60%,17,28.81,30-60%,64.71,20-60%,70.59,30-80%,76.47,20-50%,49.15,20-60%,59.32,20-70%,66.1,15.56,11.27,10.37,46.43
41,45,band20,40-60%,17,28.81,60-90%,64.71,50-90%,70.59,40-90%,76.47,60-90%,50.85,50-90%,59.32,40-90%,71.19,13.86,11.27,5.28,68.18
38,45,band20,0-20%,17,28.81,60-90%,58.82,50-90%,70.59,40-90%,76.47,60-90%,50.85,50-90%,59.32,40-90%,71.19,7.97,11.27,5.28,73.08
38,39,band20,0-20%,17,28.81,30-60%,52.94,30-70%,70.59,30-80%,82.35,20-50%,49.15,20-60%,59.32,20-70%,66.1,3.79,11.27,16.25,59.09
45,37,band20,80-100%,16,27.12,10-40%,50.0,10-50%,68.75,0-50%,75.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,9.32,11.12,12.29,32.25
37,39,half,前半区,37,62.71,20-50%,56.76,20-60%,70.27,20-70%,81.08,20-50%,49.15,20-60%,59.32,20-70%,66.1,7.61,10.95,14.98,35.0
39,42,band20,40-60%,12,20.34,10-40%,50.0,0-40%,58.33,0-50%,66.67,0-30%,35.59,0-40%,47.46,0-50%,59.32,14.41,10.87,7.35,33.62
44,43,band20,40-60%,10,16.95,70-100%,60.0,60-100%,60.0,50-100%,60.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,22.71,10.85,0.68,77.01
38,43,band20,20-40%,10,16.95,30-60%,50.0,40-80%,60.0,30-80%,70.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,12.71,10.85,10.68,59.23
38,39,band20,40-60%,10,16.95,0-30%,70.0,0-40%,70.0,0-50%,80.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,20.85,10.68,13.9,24.6
37,45,band20,20-40%,10,16.95,70-100%,70.0,60-100%,70.0,50-100%,80.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,19.15,10.68,8.81,80.13
37,39,band20,20-40%,10,16.95,20-50%,60.0,20-60%,70.0,20-70%,80.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,10.85,10.68,13.9,42.86
38,45,band20,20-40%,10,16.95,40-70%,60.0,30-70%,70.0,20-70%,80.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,9.15,10.68,8.81,60.91
40,45,band20,80-100%,10,16.95,60-90%,60.0,40-80%,70.0,40-90%,90.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,9.15,10.68,18.81,65.34
36,44,band20,40-60%,19,32.2,10-40%,47.37,0-40%,63.16,0-50%,73.68,10-40%,42.37,0-40%,52.54,0-50%,61.02,5.0,10.62,12.66,34.38
37,41,half,后半区,22,37.29,40-70%,45.45,40-80%,54.55,40-90%,72.73,20-50%,37.29,20-60%,44.07,40-90%,61.02,8.16,10.48,11.71,59.23
43,36,half,前半区,24,40.68,20-50%,75.0,20-60%,83.33,20-70%,95.83,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,10.45,14.47,36.67
42,36,band20,60-80%,12,20.34,20-50%,75.0,10-50%,83.33,10-60%,91.67,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,10.45,10.31,37.87
43,36,band20,0-20%,12,20.34,20-50%,75.0,10-50%,83.33,10-60%,91.67,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,10.45,10.31,35.64
41,36,band20,80-100%,18,30.51,20-50%,72.22,10-50%,83.33,10-60%,88.89,20-50%,62.71,10-50%,72.88,10-60%,81.36,9.51,10.45,7.53,36.67
40,37,half,后半区,25,42.37,0-30%,48.0,10-50%,68.0,0-50%,76.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,7.32,10.37,13.29,32.14
42,44,half,前半区,35,59.32,10-40%,48.57,0-40%,62.86,0-50%,65.71,10-40%,42.37,0-40%,52.54,0-50%,61.02,6.2,10.32,4.69,34.38
36,40,band20,20-40%,23,38.98,40-70%,52.17,30-70%,60.87,20-70%,69.57,20-50%,38.98,10-50%,50.85,10-60%,61.02,13.19,10.02,8.55,45.83
43,44,half,前半区,24,40.68,70-100%,58.33,60-100%,62.5,50-100%,70.83,10-40%,42.37,0-40%,52.54,0-50%,61.02,15.96,9.96,9.81,76.97
41,44,band20,60-80%,8,13.56,30-60%,50.0,0-40%,62.5,0-50%,75.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,7.63,9.96,13.98,31.98
36,44,half,后半区,16,27.12,10-40%,43.75,0-40%,62.5,0-50%,68.75,10-40%,42.37,0-40%,52.54,0-50%,61.02,1.38,9.96,7.73,35.94
38,45,band20,60-80%,13,22.03,70-100%,61.54,60-100%,69.23,50-100%,69.23,60-90%,50.85,50-90%,59.32,40-90%,71.19,10.69,9.91,-1.96,75.0
43,45,band20,60-80%,13,22.03,60-90%,53.85,50-90%,69.23,50-100%,84.62,60-90%,50.85,50-90%,59.32,40-90%,71.19,3.0,9.91,13.43,70.83
43,45,band20,80-100%,13,22.03,60-90%,53.85,50-90%,69.23,50-100%,76.92,60-90%,50.85,50-90%,59.32,40-90%,71.19,3.0,9.91,5.73,70.0
45,43,half,后半区,39,66.1,50-80%,46.15,40-80%,58.97,50-100%,71.79,50-80%,37.29,40-80%,49.15,50-100%,59.32,8.86,9.82,12.47,62.5
45,38,band20,60-80%,18,30.51,0-30%,44.44,10-50%,55.56,0-50%,72.22,0-30%,44.07,0-40%,45.76,0-50%,54.24,0.37,9.8,17.98,37.58
40,38,band20,60-80%,9,15.25,0-30%,44.44,20-60%,55.56,0-50%,55.56,0-30%,44.07,0-40%,45.76,0-50%,54.24,0.37,9.8,1.32,50.0
37,41,band20,40-60%,13,22.03,20-50%,46.15,20-60%,53.85,20-70%,61.54,20-50%,37.29,20-60%,44.07,40-90%,61.02,8.86,9.78,0.52,53.57
43,41,band20,80-100%,13,22.03,40-70%,46.15,40-80%,53.85,40-90%,76.92,20-50%,37.29,20-60%,44.07,40-90%,61.02,8.86,9.78,15.9,59.38
39,36,band20,20-40%,23,38.98,30-60%,69.57,20-60%,82.61,20-70%,91.3,20-50%,62.71,10-50%,72.88,10-60%,81.36,6.86,9.73,9.94,45.83
41,43,band20,40-60%,17,28.81,40-70%,58.82,30-70%,58.82,20-70%,58.82,50-80%,37.29,40-80%,49.15,50-100%,59.32,21.53,9.67,-0.5,55.0
40,43,band20,40-60%,17,28.81,50-80%,47.06,60-100%,58.82,30-80%,70.59,50-80%,37.29,40-80%,49.15,50-100%,59.32,9.77,9.67,11.27,63.33
37,44,half,前半区,37,62.71,10-40%,45.95,0-40%,62.16,0-50%,67.57,10-40%,42.37,0-40%,52.54,0-50%,61.02,3.58,9.62,6.55,32.14
38,36,band20,0-20%,17,28.81,10-40%,70.59,10-50%,82.35,0-50%,82.35,20-50%,62.71,10-50%,72.88,10-60%,81.36,7.88,9.47,0.99,29.17
40,36,band20,40-60%,17,28.81,20-50%,70.59,10-50%,82.35,10-60%,88.24,20-50%,62.71,10-50%,72.88,10-60%,81.36,7.88,9.47,6.88,36.67
43,39,band20,40-60%,16,27.12,10-40%,62.5,20-60%,68.75,20-70%,75.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,13.35,9.43,8.9,38.24
43,45,band20,40-60%,16,27.12,60-90%,62.5,50-90%,68.75,40-90%,75.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,11.65,9.43,3.81,68.18
36,39,half,后半区,16,27.12,20-50%,56.25,20-60%,68.75,30-80%,75.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,7.1,9.43,8.9,37.87
45,39,band20,80-100%,16,27.12,10-40%,50.0,20-60%,68.75,10-60%,75.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,0.85,9.43,8.9,39.29
44,43,band20,80-100%,12,20.34,30-60%,58.33,10-50%,58.33,0-50%,83.33,50-80%,37.29,40-80%,49.15,50-100%,59.32,21.04,9.18,24.01,38.79
37,40,band20,20-40%,10,16.95,10-40%,50.0,10-50%,60.0,10-60%,90.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,9.15,28.98,42.03
38,37,band20,80-100%,9,15.25,0-30%,66.67,0-40%,66.67,10-60%,77.78,0-30%,40.68,10-50%,57.63,0-50%,62.71,25.99,9.04,15.07,20.83
44,37,band20,20-40%,18,30.51,0-30%,55.56,10-50%,66.67,0-50%,72.22,0-30%,40.68,10-50%,57.63,0-50%,62.71,14.88,9.04,9.51,26.56
44,37,half,前半区,36,61.02,10-40%,50.0,10-50%,66.67,10-60%,72.22,0-30%,40.68,10-50%,57.63,0-50%,62.71,9.32,9.04,9.51,32.25
43,37,band20,0-20%,12,20.34,40-70%,50.0,40-80%,66.67,30-80%,66.67,0-30%,40.68,10-50%,57.63,0-50%,62.71,9.32,9.04,3.96,54.09
45,37,half,后半区,39,66.1,10-40%,48.72,10-50%,66.67,0-50%,71.79,0-30%,40.68,10-50%,57.63,0-50%,62.71,8.04,9.04,9.08,32.14
38,44,band20,60-80%,13,22.03,10-40%,46.15,0-40%,61.54,0-50%,61.54,10-40%,42.37,0-40%,52.54,0-50%,61.02,3.78,9.0,0.52,34.62
37,41,band20,0-20%,17,28.81,20-50%,47.06,10-50%,52.94,0-50%,52.94,20-50%,37.29,20-60%,44.07,40-90%,61.02,9.77,8.87,-8.08,50.0
36,42,half,后半区,16,27.12,0-30%,43.75,0-40%,56.25,0-50%,68.75,0-30%,35.59,0-40%,47.46,0-50%,59.32,8.16,8.79,9.43,33.62
37,42,band20,60-80%,16,27.12,30-60%,43.75,30-70%,56.25,30-80%,68.75,0-30%,35.59,0-40%,47.46,0-50%,59.32,8.16,8.79,9.43,50.51
43,42,band20,40-60%,16,27.12,10-40%,43.75,0-40%,56.25,0-50%,56.25,0-30%,35.59,0-40%,47.46,0-50%,59.32,8.16,8.79,-3.07,36.95
45,42,band20,80-100%,16,27.12,0-30%,43.75,0-40%,56.25,0-50%,62.5,0-30%,35.59,0-40%,47.46,0-50%,59.32,8.16,8.79,3.18,33.38
40,38,band20,0-20%,11,18.64,0-30%,36.36,60-100%,54.55,50-100%,63.64,0-30%,44.07,0-40%,45.76,0-50%,54.24,-7.71,8.79,9.4,60.71
36,43,band20,40-60%,19,32.2,30-60%,42.11,40-80%,57.89,40-90%,73.68,50-80%,37.29,40-80%,49.15,50-100%,59.32,4.82,8.74,14.36,59.09
40,39,half,后半区,25,42.37,20-50%,60.0,0-40%,68.0,0-50%,76.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,10.85,8.68,9.9,34.38
36,41,band20,40-60%,19,32.2,0-30%,42.11,10-50%,52.63,0-50%,63.16,20-50%,37.29,20-60%,44.07,40-90%,61.02,4.82,8.56,2.14,50.0
42,38,half,后半区,24,40.68,0-30%,50.0,0-40%,54.17,0-50%,58.33,0-30%,44.07,0-40%,45.76,0-50%,54.24,5.93,8.41,4.09,30.5
43,36,band20,40-60%,16,27.12,30-60%,62.5,30-70%,81.25,20-70%,81.25,20-50%,62.71,10-50%,72.88,10-60%,81.36,-0.21,8.37,-0.11,43.67
39,38,half,前半区,37,62.71,50-80%,43.24,40-80%,54.05,40-90%,64.86,0-30%,44.07,0-40%,45.76,0-50%,54.24,-0.83,8.29,10.62,60.71
37,45,half,前半区,37,62.71,60-90%,56.76,60-100%,67.57,40-90%,75.68,60-90%,50.85,50-90%,59.32,40-90%,71.19,5.91,8.25,4.49,70.0
39,36,half,前半区,37,62.71,20-50%,67.57,20-60%,81.08,20-70%,86.49,20-50%,62.71,10-50%,72.88,10-60%,81.36,4.86,8.2,5.13,40.91
38,42,band20,80-100%,9,15.25,20-50%,44.44,10-50%,55.56,0-50%,66.67,0-30%,35.59,0-40%,47.46,0-50%,59.32,8.85,8.1,7.35,45.83
40,42,band20,60-80%,9,15.25,60-90%,44.44,40-80%,55.56,40-90%,66.67,0-30%,35.59,0-40%,47.46,0-50%,59.32,8.85,8.1,7.35,63.33
38,42,half,后半区,27,45.76,10-40%,40.74,10-50%,55.56,0-50%,62.96,0-30%,35.59,0-40%,47.46,0-50%,59.32,5.15,8.1,3.64,43.33
42,38,band20,20-40%,13,22.03,40-70%,53.85,30-70%,53.85,20-70%,61.54,0-30%,44.07,0-40%,45.76,0-50%,54.24,9.78,8.09,7.3,50.0
43,38,band20,80-100%,13,22.03,0-30%,53.85,0-40%,53.85,0-50%,69.23,0-30%,44.07,0-40%,45.76,0-50%,54.24,9.78,8.09,14.99,23.33
43,37,half,后半区,35,59.32,10-40%,45.71,10-50%,65.71,10-60%,71.43,0-30%,40.68,10-50%,57.63,0-50%,62.71,5.03,8.08,8.72,40.62
42,43,half,前半区,35,59.32,50-80%,45.71,60-100%,57.14,50-100%,74.29,50-80%,37.29,40-80%,49.15,50-100%,59.32,8.42,7.99,14.97,63.33
41,40,band20,40-60%,17,28.81,0-30%,52.94,0-40%,58.82,0-50%,58.82,20-50%,38.98,10-50%,50.85,10-60%,61.02,13.96,7.97,-2.2,25.0
37,43,half,前半区,37,62.71,40-70%,43.24,40-80%,56.76,40-90%,64.86,50-80%,37.29,40-80%,49.15,50-100%,59.32,5.95,7.61,5.54,58.33
42,40,band20,40-60%,12,20.34,40-70%,50.0,30-70%,58.33,20-70%,66.67,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,7.48,5.65,51.56
43,40,band20,0-20%,12,20.34,20-50%,50.0,10-50%,58.33,0-50%,58.33,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,7.48,-2.69,42.12
43,40,half,前半区,24,40.68,20-50%,45.83,30-70%,58.33,20-70%,70.83,20-50%,38.98,10-50%,50.85,10-60%,61.02,6.85,7.48,9.81,47.91
44,40,half,前半区,36,61.02,30-60%,44.44,10-50%,58.33,10-60%,72.22,20-50%,38.98,10-50%,50.85,10-60%,61.02,5.46,7.48,11.2,44.07
39,44,band20,60-80%,10,16.95,10-40%,60.0,0-40%,60.0,10-60%,70.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,17.63,7.46,8.98,34.38
38,44,band20,40-60%,10,16.95,10-40%,50.0,10-50%,60.0,0-50%,60.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,7.63,7.46,-1.02,39.06
39,43,band20,20-40%,23,38.98,30-60%,52.17,30-70%,56.52,30-80%,65.22,50-80%,37.29,40-80%,49.15,50-100%,59.32,14.88,7.37,5.9,50.0
44,43,half,后半区,23,38.98,30-60%,43.48,10-50%,56.52,0-50%,73.91,50-80%,37.29,40-80%,49.15,50-100%,59.32,6.19,7.37,14.59,37.5
43,41,half,后半区,35,59.32,70-100%,42.86,60-100%,51.43,40-90%,68.57,20-50%,37.29,20-60%,44.07,40-90%,61.02,5.57,7.36,7.55,60.71
41,39,band20,80-100%,18,30.51,0-30%,66.67,0-40%,66.67,0-50%,72.22,20-50%,49.15,20-60%,59.32,20-70%,66.1,17.52,7.35,6.12,25.96
42,39,band20,40-60%,12,20.34,20-50%,66.67,10-50%,66.67,0-50%,75.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,17.52,7.35,8.9,35.94
45,39,band20,40-60%,12,20.34,20-50%,66.67,10-50%,66.67,0-50%,75.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,17.52,7.35,8.9,43.33
41,45,band20,20-40%,9,15.25,40-70%,66.67,30-70%,66.67,40-90%,88.89,60-90%,50.85,50-90%,59.32,40-90%,71.19,15.82,7.35,17.7,62.5
43,39,band20,0-20%,12,20.34,20-50%,58.33,20-60%,66.67,0-50%,66.67,20-50%,49.15,20-60%,59.32,20-70%,66.1,9.18,7.35,0.57,38.86
41,45,band20,80-100%,18,30.51,60-90%,55.56,50-90%,66.67,40-90%,72.22,60-90%,50.85,50-90%,59.32,40-90%,71.19,4.71,7.35,1.03,68.65
42,39,band20,0-20%,15,25.42,20-50%,53.33,20-60%,66.67,0-50%,66.67,20-50%,49.15,20-60%,59.32,20-70%,66.1,4.18,7.35,0.57,39.29
42,45,band20,0-20%,15,25.42,60-90%,53.33,60-100%,66.67,50-100%,73.33,60-90%,50.85,50-90%,59.32,40-90%,71.19,2.48,7.35,2.14,70.83
40,45,band20,20-40%,12,20.34,60-90%,50.0,60-100%,66.67,50-100%,66.67,60-90%,50.85,50-90%,59.32,40-90%,71.19,-0.85,7.35,-4.52,68.81
44,36,band20,40-60%,10,16.95,0-30%,70.0,10-50%,80.0,10-60%,90.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,7.29,7.12,8.64,27.52
36,43,half,后半区,16,27.12,40-70%,43.75,40-80%,56.25,40-90%,68.75,50-80%,37.29,40-80%,49.15,50-100%,59.32,6.46,7.1,9.43,65.18
40,42,band20,0-20%,11,18.64,10-40%,45.45,0-40%,54.55,0-50%,63.64,0-30%,35.59,0-40%,47.46,0-50%,59.32,9.86,7.09,4.32,39.29
37,42,half,后半区,22,37.29,40-70%,40.91,30-70%,54.55,20-70%,63.64,0-30%,35.59,0-40%,47.46,0-50%,59.32,5.32,7.09,4.32,42.5
38,44,half,前半区,32,54.24,10-40%,46.88,20-60%,59.38,10-60%,68.75,10-40%,42.37,0-40%,52.54,0-50%,61.02,4.51,6.84,7.73,37.09
41,43,band20,80-100%,18,30.51,50-80%,50.0,40-80%,55.56,50-100%,66.67,50-80%,37.29,40-80%,49.15,50-100%,59.32,12.71,6.41,7.35,66.66
44,38,half,后半区,23,38.98,0-30%,52.17,0-40%,52.17,0-50%,56.52,0-30%,44.07,0-40%,45.76,0-50%,54.24,8.1,6.41,2.28,30.0
37,42,band20,40-60%,13,22.03,10-40%,46.15,0-40%,53.85,0-50%,61.54,0-30%,35.59,0-40%,47.46,0-50%,59.32,10.56,6.39,2.22,36.67
42,36,half,后半区,24,40.68,20-50%,66.67,10-50%,79.17,20-70%,87.5,20-50%,62.71,10-50%,72.88,10-60%,81.36,3.96,6.29,6.14,37.87
40,44,half,前半区,34,57.63,10-40%,50.0,10-50%,58.82,0-50%,64.71,10-40%,42.37,0-40%,52.54,0-50%,61.02,7.63,6.28,3.69,36.06
37,44,band20,0-20%,17,28.81,0-30%,47.06,0-40%,58.82,0-50%,64.71,10-40%,42.37,0-40%,52.54,0-50%,61.02,4.69,6.28,3.69,34.62
40,37,band20,0-20%,11,18.64,20-50%,54.55,10-50%,63.64,10-60%,72.73,0-30%,40.68,10-50%,57.63,0-50%,62.71,13.87,6.01,10.02,46.43
41,38,half,前半区,29,49.15,0-30%,48.28,0-40%,51.72,0-50%,55.17,0-30%,44.07,0-40%,45.76,0-50%,54.24,4.21,5.96,0.93,31.82
40,41,band20,20-40%,12,20.34,30-60%,50.0,20-60%,50.0,40-90%,83.33,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,5.93,22.31,69.93
42,41,band20,40-60%,12,20.34,0-30%,50.0,0-40%,50.0,0-50%,50.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,5.93,-11.02,44.69
37,41,band20,20-40%,10,16.95,40-70%,50.0,30-70%,50.0,40-90%,60.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,5.93,-1.02,50.0
38,41,band20,20-40%,10,16.95,30-60%,50.0,20-60%,50.0,30-80%,60.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,5.93,-1.02,65.48
44,41,band20,40-60%,10,16.95,70-100%,50.0,60-100%,50.0,50-100%,60.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,5.93,-1.02,65.63
45,41,band20,20-40%,8,13.56,70-100%,50.0,50-90%,50.0,50-100%,62.5,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,5.93,1.48,65.63
39,41,half,后半区,22,37.29,40-70%,45.45,30-70%,50.0,20-70%,59.09,20-50%,37.29,20-60%,44.07,40-90%,61.02,8.16,5.93,-1.93,51.78
45,41,band20,60-80%,18,30.51,20-50%,44.44,10-50%,50.0,40-90%,66.67,20-50%,37.29,20-60%,44.07,40-90%,61.02,7.15,5.93,5.65,51.78
38,41,half,前半区,32,54.24,30-60%,43.75,20-60%,50.0,40-90%,65.62,20-50%,37.29,20-60%,44.07,40-90%,61.02,6.46,5.93,4.6,51.78
45,41,band20,80-100%,16,27.12,20-50%,43.75,20-60%,50.0,40-90%,62.5,20-50%,37.29,20-60%,44.07,40-90%,61.02,6.46,5.93,1.48,51.78
